GS candidate,Dessent,Narrative,Actual
Farhad,33.87,32.5,37.64
Hamim,21.55,16.1,18.42
Meghmollar,22.62,9.12,17.26
Arafat,,16.1,14.1
Baker,9.77,13.7,7.43
Others,,12.5,5.15
Others+,12.18,28.6,19.25
