AGS candidate,Narrativ,Dessent,Actual
Mohiuddin,52.9,38.13,41.64
Mayed,15.9,25.37,17.91
Jubel,4.07,10.8,5.34
Tahmid,,9.05,10.64
Ashrefa,9.49,6.1,3.18
Fateha,4.07,,1.77
Others+,17.67,14.25,33.69
