Candidate (VP),Socchar 1 (VP),Socchar 2 (VP),Narrativ (VP),Actual (VP),Candidate (GS),Socchar 1 (GS),Socchar 2 (GS),Narrativ (GS),Actual (GS),Candidate (AGS),Socchar 1 (AGS),Socchar 2 (AGS),Narrativ (AGS),Actual (AGS)
Shibir,43.03,48.22,48.51,46,Shibir,41.65,47.27,51.78,46,Shibir,40.55,41.57,46.08,42
Dol,40.48,41.27,43.08,39,Dol,29.07,21.96,28.52,19,Dol,29.34,29.71,36.66,33
Others+,16.49,10.51,9.34,15,Others+,29.28,30.77,19.7,35,Others+,30.11,28.71,17.26,25
