Party (Division),Survey BNP,Survey BAL,Actual-Survey BNP,Actual, Seat Number
BNP (Rajshahi),44.4,9.2,9.48,53.88,39
BNP (Chittagong),41.9,17.1,9.98,51.88,58
BNP (Barisal),28.7,31.9,18.94,47.64,21
BNP (Dhaka),40.8,25.8,10.61,51.41,70
BNP (Mymensingh),45.7,17.3,5.9,51.6,24
BNP (Sylhet),44.7,18.3,14.84,59.54,19
BNP (Rangpur),36.7,12.5,12.75,41.95,33
BNP (Khulna),43.3,18.3,2.75,43.55,36
