Candidate (VP),Socchar (VP),Actual Percentage (VP),Candidate (GS),Socchar (GS),Actual Percentage (GS),Candidate (AGS),Socchar (AGS),Actual Percentage (AGS)
Shibir (VP),42.97,62.88,Shibir (GS),34.1,28.38,Shibir (AGS),36.7,34.53
BNP (VP),23.74,16.83,Ammar (GS),38.76,57.15,BNP (AGS),28.89,29.43
Others+ (VP),33.29,20.29,Others+ (GS),27.14,14.47,Others (AGS),34.41,36.01
