Candidate (VP),Socchar (VP),Actual count (VP),Actual percentage (VP),Candidate (GS),Socchar (GS),Actual count (GS),Actual Percentage (GS),Candidate (AGS),Socchar (AGS),Actual count (AGS),Actual percentage (AGS)
Ibrahim Roni,50.3,7983,46.3,Shafayat,51.3,8031,46.41,Munna,40.8,5045,29.3
Hridoy,22.3,4374,25.37,Habib,17.4,2724,15.74,Toufik,28.04,7014,40.73
Others (VP),27.4,4886,28.34,Others (GS),31.3,6549,37.85,Others (AGS),31.16,5161,29.97
