VP Candidate,Dessent,Narrativ,Socchar,BPA,Actual
Sadik,35.41,41.9,48.48,9.38,47.99
Abid,17.11,13.9,10.61,47.92,19.51
Kader,4.19,7.73,4.55,18.75,3.77
Umama,14.59,8.8,,12.5,11.58
Shamim,23.21,16.5,,,13.27
Others,5.5,11.2,,,3.88
Others+,,,36.36,11.46,28.73
