Party name,"Innovision 1- Mar,2025","Innovision 2 - Sep,2025","Narrativ- Dec,2025"
BNP,39.66,28.7,49.84
Jamat,22.19,29.1,27.03
BAL,24.58,31.9,
NCP,2.23,3.9,4.68
IAB,6.15,,7.37
