Candidate,Dessent,Narrativ,Actual
Sadik,35.41,41.9,47.99
Abid,17.11,13.9,19.51
Kader,4.19,7.73,3.77
Umama,14.59,8.8,11.58
Shamim,23.21,16.5,13.27
Others (VP),5.5,11.2,3.88
Mohiuddin,52.9,38.13,41.64
Mayed,15.9,25.37,17.91
Jubel,4.07,8.9,5.34
Tahmid,,10.8,10.64
Ashrefa,9.49,9.05,3.18
Fateha,4.07,,1.77
Others+ (AGS),17.67,18.52,33.69
Farhad,33.87,32.5,37.64
Hamim,21.55,16.1,18.42
Meghmollar,22.62,9.12,17.26
Arafat,,16.1,14.1
Baker,9.77,13.7,7.43
Others,,12.5,5.15
Others+ (GS),12.18,28.6,19.25
